"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13672","@Sanity Login Page Validation","chrome","2026-08-13","passed","2026-08-13","","UIBasicsTest.spec.js","",""
"","6979","@API @Sanity API Response Interception Test","chrome","2026-08-13","passed","2026-08-13","","UIClientAPIResponseInterception.spec.js","",""
